gene	ontology	GO_id	GO_name
fig|657315.3.peg.1	BP	GO:0009372	quorum sensing
fig|657315.3.peg.1	MF	GO:0008233	peptidase activity
fig|657315.3.peg.1	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1720|ROI_00490	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1721|ROI_00500	MF	GO:0004084	branched-chain-amino-acid transaminase activity
fig|657315.3.peg.1721|ROI_00500	BP	GO:0009081	branched-chain amino acid metabolic process
fig|657315.3.peg.1722|ROI_00520	MF	GO:0004181	metallocarboxypeptidase activity
fig|657315.3.peg.1722|ROI_00520	BP	GO:0006508	proteolysis
fig|657315.3.peg.1723|ROI_00530	MF	GO:0008967	phosphoglycolate phosphatase activity
fig|657315.3.peg.1723|ROI_00530	BP	GO:0016311	dephosphorylation
fig|657315.3.peg.1778|ROI_06860	MF	GO:0003700	DNA-binding transcription factor activity
fig|657315.3.peg.1778|ROI_06860	BP	GO:0006355	regulation of transcription, DNA-templated
fig|657315.3.peg.1779|ROI_06870	MF	GO:0015128	gluconate transmembrane transporter activity
fig|657315.3.peg.1779|ROI_06870	BP	GO:0035429	gluconate transmembrane transport
fig|657315.3.peg.1779|ROI_06870	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1780|ROI_06880	MF	GO:0016829	lyase activity
fig|657315.3.peg.1781|ROI_06890	MF	GO:0043565	sequence-specific DNA binding
fig|657315.3.peg.1781|ROI_06890	BP	GO:0016310	phosphorylation
fig|657315.3.peg.1782|ROI_06900	MF	GO:0004342	glucosamine-6-phosphate deaminase activity
fig|657315.3.peg.1782|ROI_06900	BP	GO:0019262	N-acetylneuraminate catabolic process
fig|657315.3.peg.1783|ROI_06910	MF	GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity
fig|657315.3.peg.1783|ROI_06910	BP	GO:0006044	N-acetylglucosamine metabolic process
fig|657315.3.peg.1784|ROI_06920	MF	GO:0004347	glucose-6-phosphate isomerase activity
fig|657315.3.peg.1784|ROI_06920	BP	GO:0006094	gluconeogenesis
fig|657315.3.peg.1784|ROI_06920	CC	GO:0005737	cytoplasm
fig|657315.3.peg.1786|ROI_06930	MF	GO:0071424	rRNA (cytosine-N4-)-methyltransferase activity
fig|657315.3.peg.1786|ROI_06930	BP	GO:0070475	rRNA base methylation
fig|657315.3.peg.1786|ROI_06930	CC	GO:0005737	cytoplasm
fig|657315.3.peg.1788|ROI_06940	MF	GO:0036381	pyridoxal 5-phosphate synthase (glutamine hydrolysing) activity	4.210912071339001	0.602657761497	1
fig|657315.3.peg.1788|ROI_06940	BP	0042823	pyridoxal phosphate biosynthetic process	3.442687540051259	0.574111059748	1
fig|657315.3.peg.1788|ROI_06940	MF	0016843	amine-lyase activity	4.043747905208507	0.596683730429	2
fig|657315.3.peg.1788|ROI_06940	BP	0042822	pyridoxal phosphate metabolic process	3.4424557794580544	0.574101991263	2
fig|657315.3.peg.1788|ROI_06940	BP	0046184	aldehyde biosynthetic process	3.372159206490363	0.571337145643	3
fig|657315.3.peg.1788|ROI_06940	MF	0016840	carbon-nitrogen lyase activity	2.872559947934584	0.55079408015	3
fig|657315.3.peg.1788|ROI_06940	BP	0042819	vitamin B6 biosynthetic process	3.2403142548495016	0.566072674638	4
fig|657315.3.peg.1788|ROI_06940	MF	0016829	lyase activity	1.617960875474873	0.489393080152	4
fig|657315.3.peg.1788|ROI_06940	BP	0042816	vitamin B6 metabolic process	3.24007091719265	0.566062860311	5
fig|657315.3.peg.1788|ROI_06940	MF	0003824	catalytic activity	0.21652430529755848	0.372264714086	5
fig|657315.3.peg.1788|ROI_06940	BP	1901617	organic hydroxy compound biosynthetic process	2.8823317441966547	0.55121230285	6
fig|657315.3.peg.1788|ROI_06940	BP	0006081	cellular aldehyde metabolic process	2.491286705522476	0.53388092692	7
fig|657315.3.peg.1788|ROI_06940	BP	1901615	organic hydroxy compound metabolic process	2.445628911053666	0.531771116959	8
fig|657315.3.peg.1788|ROI_06940	BP	0072525	pyridine-containing compound biosynthetic process	2.296397224457238	0.524734166754	9
fig|657315.3.peg.1788|ROI_06940	BP	0072524	pyridine-containing compound metabolic process	2.1797968053941204	0.519075239335	10
fig|657315.3.peg.1788|ROI_06940	BP	0042364	water-soluble vitamin biosynthetic process	2.1416240773730766	0.517189872907	11
fig|657315.3.peg.1788|ROI_06940	BP	0009110	vitamin biosynthetic process	2.139802866157515	0.517099504282	12
fig|657315.3.peg.1788|ROI_06940	BP	0006767	water-soluble vitamin metabolic process	2.1130242925567138	0.515766282672	13
fig|657315.3.peg.1788|ROI_06940	BP	0006766	vitamin metabolic process	2.1107645602930147	0.51565339214	14
fig|657315.3.peg.1788|ROI_06940	BP	0009108	coenzyme biosynthetic process	1.7996401671390523	0.499486769647	15
fig|657315.3.peg.1788|ROI_06940	BP	0006732	coenzyme metabolic process	1.6950030508136569	0.493739194667	16
fig|657315.3.peg.1788|ROI_06940	BP	0051188	cofactor biosynthetic process	1.6405593179847908	0.49067843349	17
fig|657315.3.peg.1788|ROI_06940	BP	0051186	cofactor metabolic process	1.5163083432114657	0.483497062203	18
fig|657315.3.peg.1788|ROI_06940	BP	0090407	organophosphate biosynthetic process	1.4764066374225358	0.481128853063	19
fig|657315.3.peg.1788|ROI_06940	BP	0017144	drug metabolic process	1.3215602936157418	0.471620665385	20
fig|657315.3.peg.1788|ROI_06940	BP	0044283	small molecule biosynthetic process	1.2853384092213596	0.469317256371	21
fig|657315.3.peg.1788|ROI_06940	BP	0019637	organophosphate metabolic process	1.20842112673805	0.464315760349	22
fig|657315.3.peg.1788|ROI_06940	BP	0019438	aromatic compound biosynthetic process	1.1338471475978418	0.459312240029	23
fig|657315.3.peg.1788|ROI_06940	BP	0018130	heterocycle biosynthetic process	1.1134013031280803	0.457911893174	24
fig|657315.3.peg.1788|ROI_06940	BP	1901362	organic cyclic compound biosynthetic process	1.0925232826189368	0.456468613581	25
fig|657315.3.peg.1788|ROI_06940	BP	0006796	phosphate-containing compound metabolic process	0.9686346258858942	0.447604732472	26
fig|657315.3.peg.1788|ROI_06940	BP	0006793	phosphorus metabolic process	0.9596675916586795	0.446941731646	27
fig|657315.3.peg.1788|ROI_06940	BP	0044281	small molecule metabolic process	0.8321565667618012	0.437155238414	28
fig|657315.3.peg.1788|ROI_06940	BP	1901566	organonitrogen compound biosynthetic process	0.8152632364046698	0.435803880277	29
fig|657315.3.peg.1788|ROI_06940	BP	0044271	cellular nitrogen compound biosynthetic process	0.8135631879166284	0.435667115084	30
fig|657315.3.peg.1788|ROI_06940	BP	0006725	cellular aromatic compound metabolic process	0.6805443199389296	0.424482899944	31
fig|657315.3.peg.1788|ROI_06940	BP	0046483	heterocycle metabolic process	0.6795137194153679	0.424392167359	32
fig|657315.3.peg.1788|ROI_06940	BP	1901360	organic cyclic compound metabolic process	0.6675372843024255	0.423332690547	33
fig|657315.3.peg.1788|ROI_06940	BP	0044249	cellular biosynthetic process	0.6522422209907994	0.421965718924	34
fig|657315.3.peg.1788|ROI_06940	BP	1901576	organic substance biosynthetic process	0.6421645714997349	0.421056269051	35
fig|657315.3.peg.1788|ROI_06940	BP	0009058	biosynthetic process	0.6219560036050263	0.419210799937	36
fig|657315.3.peg.1788|ROI_06940	BP	0034641	cellular nitrogen compound metabolic process	0.5424579715396308	0.411642335454	37
fig|657315.3.peg.1788|ROI_06940	BP	1901564	organonitrogen compound metabolic process	0.5279296730191113	0.410200532764	38
fig|657315.3.peg.1788|ROI_06940	BP	0006807	nitrogen compound metabolic process	0.36916847967554023	0.39292241112	39
fig|657315.3.peg.1788|ROI_06940	BP	0044237	cellular metabolic process	0.31743436734799346	0.38650758806	40
fig|657315.3.peg.1788|ROI_06940	BP	0071704	organic substance metabolic process	0.29149476482548187	0.383093850439	41
fig|657315.3.peg.1788|ROI_06940	BP	0009987	cellular process	0.22809047170234525	0.374045804044	42
fig|657315.3.peg.1788|ROI_06940	BP	0008152	metabolic process	0.17366847516304829	0.365209994287	43
fig|657315.3.peg.1789	BP	0006543	glutamine catabolic process	4.673747143707105	0.618605715113	1
fig|657315.3.peg.1789	MF	0036381	pyridoxal 5-phosphate synthase (glutamine hydrolysing) activity
fig|657315.3.peg.1791	MF	GO:0003700	DNA-binding transcription factor activity
fig|657315.3.peg.1791	BP	GO:0006355	regulation of transcription, DNA-templated
fig|657315.3.peg.1792|ROI_06990	BP	GO:0006855	drug transmembrane transport
fig|657315.3.peg.1792|ROI_06990	MF	GO:0015238	drug transmembrane transporter activity
fig|657315.3.peg.1792|ROI_06990	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1794|ROI_07010	MF	GO:0045302	choloylglycine hydrolase activity
fig|657315.3.peg.1795|ROI_07020	MF	GO:0003700	DNA-binding transcription factor activity
fig|657315.3.peg.1795|ROI_07020	BP	GO:0006355	regulation of transcription, DNA-templated
fig|657315.3.peg.1796|ROI_07030	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.1797|ROI_07040	MF	GO:0008381	mechanosensitive ion channel activity
fig|657315.3.peg.1797|ROI_07040	CC	GO:0005887	integral component of plasma membrane
fig|657315.3.peg.1797|ROI_07040	BP	GO:0034220	ion transmembrane transport
fig|657315.3.peg.1798|ROI_07050	MF	GO:0004177	aminopeptidase activity
fig|657315.3.peg.1798|ROI_07050	BP	GO:0006508	proteolysis
fig|657315.3.peg.1799|ROI_07060	MF	GO:0016740	transferase activity
fig|657315.3.peg.1799|ROI_07060	CC	GO:0005840	ribosome
fig|657315.3.peg.1800|ROI_07070	BP	GO:0045892	negative regulation of transcription, DNA-templated
fig|657315.3.peg.1801|ROI_07080	BP	GO:0044780	bacterial-type flagellum assembly
fig|657315.3.peg.1802|ROI_07090	CC	GO:0009424	bacterial-type flagellum hook
fig|657315.3.peg.1802|ROI_07090	BP	GO:0044780	bacterial-type flagellum assembly
fig|657315.3.peg.1802|ROI_07090	MF	GO:0005198	structural molecule activity
fig|657315.3.peg.1803|ROI_07100	CC	GO:0009424	bacterial-type flagellum hook
fig|657315.3.peg.1803|ROI_07100	BP	GO:0044780	bacterial-type flagellum assembly
fig|657315.3.peg.1803|ROI_07100	MF	GO:0005198	structural molecule activity
fig|657315.3.peg.1804|ROI_07110	BP	GO:0071973	bacterial-type flagellum-dependent cell motility
fig|657315.3.peg.1804|ROI_07110	MF	GO:0005198	structural molecule activity
fig|657315.3.peg.1804|ROI_07110	CC	GO:0009288	bacterial-type flagellum
fig|657315.3.peg.1805|ROI_07120	BP	GO:0044780	bacterial-type flagellum assembly
fig|657315.3.peg.1805|ROI_07120	CC	GO:0005737	cytoplasm
fig|657315.3.peg.1806|ROI_07130	MF	GO:0048027	mRNA 5-UTR binding	5.087029647226298	0.632190533502	1
fig|657315.3.peg.1806|ROI_07130	BP	1902208	regulation of bacterial-type flagellum assembly	5.039816507709317	0.630667257596	1
fig|657315.3.peg.1806|ROI_07130	CC	0005737	cytoplasm	0.6526558645078583	0.422002897226	1
fig|657315.3.peg.1806|ROI_07130	BP	0045947	negative regulation of translational initiation	5.03106693525238	0.630384180516	2
fig|657315.3.peg.1806|ROI_07130	MF	0003729	mRNA binding	3.900209956209506	0.591454742795	2
fig|657315.3.peg.1806|ROI_07130	CC	0044424	intracellular part	0.5491062893451235	0.412295677713	2
fig|657315.3.peg.1806|ROI_07130	BP	0006446	regulation of translational initiation	4.775181928234404	0.621993793826	3
fig|657315.3.peg.1806|ROI_07130	MF	0003723	RNA binding	1.3959682468175927	0.476255397427	3
fig|657315.3.peg.1806|ROI_07130	CC	0005622	intracellular	0.549105193842706	0.412295570383	3
fig|657315.3.peg.1806|ROI_07130	BP	0060491	regulation of cell projection assembly	4.755337354217016	0.621333806869	4
fig|657315.3.peg.1806|ROI_07130	MF	0003676	nucleic acid binding	0.864821955264449	0.439729907338	4
fig|657315.3.peg.1806|ROI_07130	CC	0044464	cell part	0.37836177412084726	0.394014144559	4
fig|657315.3.peg.1806|ROI_07130	BP	1902115	regulation of organelle assembly	4.667993120554144	0.618412425129	5
fig|657315.3.peg.1806|ROI_07130	MF	1901363	heterocyclic compound binding	0.5023955778698604	0.407617569268	5
fig|657315.3.peg.1806|ROI_07130	CC	0005623	cell	0.36180382029307007	0.392037989531	5
fig|657315.3.peg.1806|ROI_07130	BP	0006109	regulation of carbohydrate metabolic process	4.441678851928615	0.610713223411	6
fig|657315.3.peg.1806|ROI_07130	MF	0097159	organic cyclic compound binding	0.502270048218844	0.407604710861	6
fig|657315.3.peg.1806|ROI_07130	BP	0031344	regulation of cell projection organization	4.376792145369799	0.608469787623	7
fig|657315.3.peg.1806|ROI_07130	MF	0005488	binding	0.3511949369554947	0.390747991863	7
fig|657315.3.peg.1806|ROI_07130	BP	0017148	negative regulation of translation	4.083865260877249	0.598128517104	8
fig|657315.3.peg.1806|ROI_07130	BP	0034249	negative regulation of cellular amide metabolic process	4.077278652330828	0.597891795448	9
fig|657315.3.peg.1806|ROI_07130	BP	0006402	mRNA catabolic process	3.7818943869447668	0.587071795043	10
fig|657315.3.peg.1806|ROI_07130	BP	0033043	regulation of organelle organization	3.5934044909138936	0.579945146402	11
fig|657315.3.peg.1806|ROI_07130	BP	0006417	regulation of translation	3.339650626283888	0.570048803917	12
fig|657315.3.peg.1806|ROI_07130	BP	0034248	regulation of cellular amide metabolic process	3.3337927590700067	0.56981598611	13
fig|657315.3.peg.1806|ROI_07130	BP	0032269	negative regulation of cellular protein metabolic process	3.3119668296219666	0.568946720221	14
fig|657315.3.peg.1806|ROI_07130	BP	0051248	negative regulation of protein metabolic process	3.3062135948102354	0.568717108286	15
fig|657315.3.peg.1806|ROI_07130	BP	0006401	RNA catabolic process	3.2575401920699067	0.566766499521	16
fig|657315.3.peg.1806|ROI_07130	BP	0044781	bacterial-type flagellum organization	3.175885474862147	0.563461126335	17
fig|657315.3.peg.1806|ROI_07130	BP	2000113	negative regulation of cellular macromolecule biosynthetic process	3.1169651704893875	0.561049568691	18
fig|657315.3.peg.1806|ROI_07130	BP	0010558	negative regulation of macromolecule biosynthetic process	3.086314343913085	0.559786041886	19
fig|657315.3.peg.1806|ROI_07130	BP	0031327	negative regulation of cellular biosynthetic process	3.0757051551412027	0.559347236023	20
fig|657315.3.peg.1806|ROI_07130	BP	0009890	negative regulation of biosynthetic process	3.0739124218460305	0.559273012211	21
fig|657315.3.peg.1806|ROI_07130	BP	0010608	posttranscriptional regulation of gene expression	2.9268519032038705	0.553108807713	22
fig|657315.3.peg.1806|ROI_07130	BP	0030030	cell projection organization	2.8938131095622266	0.55170278853	23
fig|657315.3.peg.1806|ROI_07130	BP	0044087	regulation of cellular component biogenesis	2.8506526802416103	0.549853879194	24
fig|657315.3.peg.1806|ROI_07130	BP	0032268	regulation of cellular protein metabolic process	2.8299471206282303	0.548961925691	25
fig|657315.3.peg.1806|ROI_07130	BP	0051172	negative regulation of nitrogen compound metabolic process	2.824360993767433	0.54872072823	26
fig|657315.3.peg.1806|ROI_07130	BP	0051246	regulation of protein metabolic process	2.800903700621871	0.547705277219	27
fig|657315.3.peg.1806|ROI_07130	BP	0044265	cellular macromolecule catabolic process	2.798153476559236	0.547585943752	28
fig|657315.3.peg.1806|ROI_07130	BP	0016071	mRNA metabolic process	2.7529837753262196	0.5456175524	29
fig|657315.3.peg.1806|ROI_07130	BP	0031324	negative regulation of cellular metabolic process	2.7175184731268316	0.544060712461	30
fig|657315.3.peg.1806|ROI_07130	BP	0048523	negative regulation of cellular process	2.568349715873407	0.537398559931	31
fig|657315.3.peg.1806|ROI_07130	BP	0034655	nucleobase-containing compound catabolic process	2.5679882947202177	0.537382186549	32
fig|657315.3.peg.1806|ROI_07130	BP	0010629	negative regulation of gene expression	2.544743741347973	0.536326712813	33
fig|657315.3.peg.1806|ROI_07130	BP	0009057	macromolecule catabolic process	2.4868939117473134	0.533678784644	34
fig|657315.3.peg.1806|ROI_07130	BP	0010605	negative regulation of macromolecule metabolic process	2.4411232717494182	0.531561851318	35
fig|657315.3.peg.1806|ROI_07130	BP	0044270	cellular nitrogen compound catabolic process	2.4392321865892526	0.531473961819	36
fig|657315.3.peg.1806|ROI_07130	BP	0046700	heterocycle catabolic process	2.4387000108181254	0.531449222438	37
fig|657315.3.peg.1806|ROI_07130	BP	0019439	aromatic compound catabolic process	2.407287663130033	0.529984136355	38
fig|657315.3.peg.1806|ROI_07130	BP	1901361	organic cyclic compound catabolic process	2.3929169063001408	0.529310691758	39
fig|657315.3.peg.1806|ROI_07130	BP	0009892	negative regulation of metabolic process	2.3811956117291047	0.528759907904	40
fig|657315.3.peg.1806|ROI_07130	BP	0051128	regulation of cellular component organization	2.3554032646084	0.527543131471	41
fig|657315.3.peg.1806|ROI_07130	BP	0048519	negative regulation of biological process	2.2677730807234187	0.523358525038	42
fig|657315.3.peg.1806|ROI_07130	BP	0044248	cellular catabolic process	1.9663807206421329	0.508310617082	43
fig|657315.3.peg.1806|ROI_07130	BP	0006996	organelle organization	1.9544102399008847	0.507689924046	44
fig|657315.3.peg.1806|ROI_07130	BP	1901575	organic substance catabolic process	1.8720026677948072	0.503364307628	45
fig|657315.3.peg.1806|ROI_07130	BP	0009056	catabolic process	1.8388563225679668	0.501597641944	46
fig|657315.3.peg.1806|ROI_07130	BP	0016043	cellular component organization	1.513494445258924	0.483331083323	47
fig|657315.3.peg.1806|ROI_07130	BP	0016070	RNA metabolic process	1.499297165335212	0.482491288056	48
fig|657315.3.peg.1806|ROI_07130	BP	2000112	regulation of cellular macromolecule biosynthetic process	1.438143167865635	0.478827625418	49
fig|657315.3.peg.1806|ROI_07130	BP	0010556	regulation of macromolecule biosynthetic process	1.418812659455345	0.477653415843	50
fig|657315.3.peg.1806|ROI_07130	BP	0031326	regulation of cellular biosynthetic process	1.4172467531663069	0.477557947422	51
fig|657315.3.peg.1806|ROI_07130	BP	0009889	regulation of biosynthetic process	1.4165330667711955	0.477514418693	52
fig|657315.3.peg.1806|ROI_07130	BP	0071840	cellular component organization or biogenesis	1.4124352059534728	0.477264271924	53
fig|657315.3.peg.1806|ROI_07130	BP	0051171	regulation of nitrogen compound metabolic process	1.3825629336979959	0.475429697574	54
fig|657315.3.peg.1806|ROI_07130	BP	0010468	regulation of gene expression	1.3817461535962012	0.475379258922	55
fig|657315.3.peg.1806|ROI_07130	BP	0080090	regulation of primary metabolic process	1.3798310284930704	0.475260935642	56
fig|657315.3.peg.1806|ROI_07130	BP	0031323	regulation of cellular metabolic process	1.3703261499143313	0.474672471394	57
fig|657315.3.peg.1806|ROI_07130	BP	0060255	regulation of macromolecule metabolic process	1.347942685433065	0.473278556035	58
fig|657315.3.peg.1806|ROI_07130	BP	0019222	regulation of metabolic process	1.3320088698422916	0.472279223901	59
fig|657315.3.peg.1806|ROI_07130	BP	0090304	nucleic acid metabolic process	1.1515198146980932	0.460512510133	60
fig|657315.3.peg.1806|ROI_07130	BP	0050794	regulation of cellular process	1.0928701801653247	0.456492706423	61
fig|657315.3.peg.1806|ROI_07130	BP	0050789	regulation of biological process	1.0613639944970603	0.45428870128	62
fig|657315.3.peg.1806|ROI_07130	BP	0065007	biological regulation	1.0158297012247686	0.451044723937	63
fig|657315.3.peg.1806|ROI_07130	BP	0006139	nucleobase-containing compound metabolic process	0.8894395583485663	0.441638269984	64
fig|657315.3.peg.1806|ROI_07130	BP	0006725	cellular aromatic compound metabolic process	0.8089728833532503	0.435297119641	65
fig|657315.3.peg.1806|ROI_07130	BP	0046483	heterocycle metabolic process	0.8077477935939149	0.435198195552	66
fig|657315.3.peg.1806|ROI_07130	BP	0044260	cellular macromolecule metabolic process	0.8043861105149558	0.434926358866	67
fig|657315.3.peg.1806|ROI_07130	BP	1901360	organic cyclic compound metabolic process	0.7935112318274755	0.434043067232	68
fig|657315.3.peg.1806|ROI_07130	BP	0034641	cellular nitrogen compound metabolic process	0.6448276423403996	0.42129728546	69
fig|657315.3.peg.1806|ROI_07130	BP	0043170	macromolecule metabolic process	0.6419728994980964	0.421038902862	70
fig|657315.3.peg.1806|ROI_07130	BP	0006807	nitrogen compound metabolic process	0.4388359151584094	0.400887292054	71
fig|657315.3.peg.1806|ROI_07130	BP	0044238	primary metabolic process	0.3974114052961797	0.396234914401	72
fig|657315.3.peg.1806|ROI_07130	BP	0044237	cellular metabolic process	0.3773388270318168	0.393893327014	73
fig|657315.3.peg.1806|ROI_07130	BP	0071704	organic substance metabolic process	0.3465040460618477	0.390171390905	74
fig|657315.3.peg.1806|ROI_07130	BP	0009987	cellular process	0.271134445108597	0.380306470302	75
fig|657315.3.peg.1806|ROI_07130	BP	0008152	metabolic process	0.20644223011488955	0.37067294745	76
fig|657315.3.peg.1808|ROI_07150	CC	0009421	bacterial-type flagellum filament cap	11.985512590380276	0.807383838375	1
fig|657315.3.peg.1808|ROI_07150	BP	0007155	cell adhesion	8.249302815226507	0.721737625671	1
fig|657315.3.peg.1808|ROI_07150	CC	0009424	bacterial-type flagellum hook	10.36612278502075	0.772192653762	2
fig|657315.3.peg.1808|ROI_07150	BP	0071973	bacterial-type flagellum-dependent cell motility	8.017690900126729	0.715841457354	2
fig|657315.3.peg.1808|ROI_07150	CC	0009420	bacterial-type flagellum filament	10.362383899001593	0.772108337793	3
fig|657315.3.peg.1808|ROI_07150	BP	0097588	archaeal or bacterial-type flagellum-dependent cell motility	7.9915817291691535	0.715171481664	3
fig|657315.3.peg.1808|ROI_07150	BP	0001539	cilium or flagellum-dependent cell motility	7.9743076805708935	0.71472761834	4
fig|657315.3.peg.1808|ROI_07150	CC	0044461	bacterial-type flagellum part	7.599636811236491	0.704979211147	4
fig|657315.3.peg.1808|ROI_07150	BP	0048870	cell motility	7.726995856967851	0.708319328987	5
fig|657315.3.peg.1808|ROI_07150	CC	0009288	bacterial-type flagellum	7.405100100870231	0.699822793104	5
fig|657315.3.peg.1808|ROI_07150	BP	0051674	localization of cell	7.726675404373025	0.708310959486	6
fig|657315.3.peg.1808|ROI_07150	CC	0044463	cell projection part	7.288195887756882	0.696691486425	6
fig|657315.3.peg.1808|ROI_07150	BP	0006928	movement of cell or subcellular component	7.313475921319398	0.697370734061	7
fig|657315.3.peg.1808|ROI_07150	CC	0042995	cell projection	6.773470332308666	0.682595945936	7
fig|657315.3.peg.1808|ROI_07150	BP	0022610	biological adhesion	6.6159379776713365	0.678175681967	8
fig|657315.3.peg.1808|ROI_07150	CC	0044422	organelle part	3.358774328664142	0.570807447326	8
fig|657315.3.peg.1808|ROI_07150	BP	0040011	locomotion	6.404355423699397	0.672155142258	9
fig|657315.3.peg.1808|ROI_07150	CC	0043228	non-membrane-bounded organelle	2.917925085097003	0.552729698395	9
fig|657315.3.peg.1808|ROI_07150	BP	0051179	localization	2.432374981505921	0.531154982348	10
fig|657315.3.peg.1808|ROI_07150	CC	0043226	organelle	2.0567888187608037	0.512938711429	10
fig|657315.3.peg.1808|ROI_07150	CC	0044464	cell part	0.9281829653300117	0.444588950905	11
fig|657315.3.peg.1808|ROI_07150	BP	0009987	cellular process	0.6651368887588123	0.423119202966	11
fig|657315.3.peg.1808|ROI_07150	CC	0005576	extracellular region	0.8901054318765443	0.441689519396	12
fig|657315.3.peg.1808|ROI_07150	CC	0005623	cell	0.887563611751352	0.441493783225	13
fig|657315.3.peg.1809|ROI_07160	BP	0044780	bacterial-type flagellum assembly	4.4464738440900025	0.610878356377	1
fig|657315.3.peg.1809|ROI_07160	CC	0005829	cytosol	2.47149107928749	0.532968581465	1
fig|657315.3.peg.1809|ROI_07160	BP	0044781	bacterial-type flagellum organization	4.144526290110481	0.600299752293	2
fig|657315.3.peg.1809|ROI_07160	CC	0044444	cytoplasmic part	0.8518235217238936	0.438711303185	2
fig|657315.3.peg.1809|ROI_07160	BP	0030031	cell projection assembly	4.129843028241629	0.599775661074	3
fig|657315.3.peg.1809|ROI_07160	CC	0005737	cytoplasm	0.571045462368107	0.414424082703	3
fig|657315.3.peg.1809|ROI_07160	BP	0070925	organelle assembly	3.840893720020659	0.58926583761	4
fig|657315.3.peg.1809|ROI_07160	CC	0044424	intracellular part	0.48044409303633273	0.405344036243	4
