gene	ontology	GO_id	GO_name
fig|999419.3.peg.3|HMPREF1077_00005	MF	GO:0030246	carbohydrate binding
fig|999419.3.peg.3|HMPREF1077_00005	BP	GO:0006517	protein deglycosylation
fig|999419.3.peg.3|HMPREF1077_00005	CC	GO:0005829	cytosol
fig|999419.3.peg.5|HMPREF1077_00007	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.6|HMPREF1077_00008	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.8|HMPREF1077_00010	MF	GO:0008236	serine-type peptidase activity
fig|999419.3.peg.8|HMPREF1077_00010	BP	GO:0006508	proteolysis
fig|999419.3.peg.8|HMPREF1077_00010	CC	GO:0005737	cytoplasm
fig|999419.3.peg.9|HMPREF1077_00011	MF	GO:0016987	sigma factor activity
fig|999419.3.peg.9|HMPREF1077_00011	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|999419.3.peg.10|HMPREF1077_00013	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.11|HMPREF1077_00014	CC	GO:0009279	cell outer membrane
fig|999419.3.peg.12|HMPREF1077_00015	BP	GO:0007218	neuropeptide signaling pathway
fig|999419.3.peg.14|HMPREF1077_00017	MF	GO:0008236	serine-type peptidase activity
fig|999419.3.peg.14|HMPREF1077_00017	BP	GO:0006508	proteolysis
fig|999419.3.peg.14|HMPREF1077_00017	CC	GO:0005737	cytoplasm
fig|999419.3.peg.15|HMPREF1077_00018	MF	GO:0003676	nucleic acid binding
fig|999419.3.peg.15|HMPREF1077_00018	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|999419.3.peg.15|HMPREF1077_00018	CC	GO:0005829	cytosol
fig|999419.3.peg.16|HMPREF1077_00019	MF	GO:0015293	symporter activity
fig|999419.3.peg.16|HMPREF1077_00019	BP	GO:0055085	transmembrane transport
fig|999419.3.peg.16|HMPREF1077_00019	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.17|HMPREF1077_00020	MF	GO:0015297	antiporter activity
fig|999419.3.peg.17|HMPREF1077_00020	BP	GO:0055085	transmembrane transport
fig|999419.3.peg.17|HMPREF1077_00020	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.18|HMPREF1077_00021	MF	GO:0036055	protein-succinyllysine desuccinylase activity
fig|999419.3.peg.18|HMPREF1077_00021	BP	GO:0036047	peptidyl-lysine demalonylation
fig|999419.3.peg.18|HMPREF1077_00021	CC	GO:0005737	cytoplasm
fig|999419.3.peg.19|HMPREF1077_00022	MF	GO:0003824	catalytic activity
fig|999419.3.peg.20|HMPREF1077_00023	MF	GO:0016787	hydrolase activity
fig|999419.3.peg.21|HMPREF1077_00025	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|999419.3.peg.21|HMPREF1077_00025	BP	GO:0000413	protein peptidyl-prolyl isomerization
fig|999419.3.peg.22|HMPREF1077_00026	MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
fig|999419.3.peg.22|HMPREF1077_00026	BP	GO:0000413	protein peptidyl-prolyl isomerization
fig|999419.3.peg.22|HMPREF1077_00026	CC	GO:0016020	membrane
fig|999419.3.peg.23|HMPREF1077_00027	MF	GO:0043565	sequence-specific DNA binding
fig|999419.3.peg.23|HMPREF1077_00027	BP	GO:0006355	regulation of transcription, DNA-templated
fig|999419.3.peg.24|HMPREF1077_00028	MF	GO:0004252	serine-type endopeptidase activity
fig|999419.3.peg.24|HMPREF1077_00028	BP	GO:0006508	proteolysis
fig|999419.3.peg.24|HMPREF1077_00028	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.25|HMPREF1077_00029	MF	GO:0008855	exodeoxyribonuclease VII activity
fig|999419.3.peg.25|HMPREF1077_00029	CC	GO:0009318	exodeoxyribonuclease VII complex
fig|999419.3.peg.25|HMPREF1077_00029	BP	GO:0006308	DNA catabolic process
fig|999419.3.peg.26|HMPREF1077_00030	MF	GO:0008855	exodeoxyribonuclease VII activity
fig|999419.3.peg.26|HMPREF1077_00030	CC	GO:0009318	exodeoxyribonuclease VII complex
fig|999419.3.peg.26|HMPREF1077_00030	BP	GO:0006308	DNA catabolic process
fig|999419.3.peg.27|HMPREF1077_00031	MF	GO:0050518	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity
fig|999419.3.peg.27|HMPREF1077_00031	BP	GO:0016114	terpenoid biosynthetic process
fig|999419.3.peg.28|HMPREF1077_00032	MF	GO:0004003	ATP-dependent DNA helicase activity
fig|999419.3.peg.28|HMPREF1077_00032	BP	GO:0032508	DNA duplex unwinding
fig|999419.3.peg.29|HMPREF1077_00033	MF	GO:0016787	hydrolase activity
fig|999419.3.peg.29|HMPREF1077_00033	BP	GO:0006508	proteolysis
fig|999419.3.peg.31|HMPREF1077_00035	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.31|HMPREF1077_00035	MF	GO:0016853	isomerase activity
fig|999419.3.peg.31|HMPREF1077_00035	BP	GO:0006094	gluconeogenesis
fig|999419.3.peg.32|HMPREF1077_00036	MF	GO:0004807	triose-phosphate isomerase activity
fig|999419.3.peg.32|HMPREF1077_00036	BP	GO:0006094	gluconeogenesis
fig|999419.3.peg.32|HMPREF1077_00036	CC	GO:0005737	cytoplasm
fig|999419.3.peg.33|HMPREF1077_00037	MF	GO:0042834	peptidoglycan binding
fig|999419.3.peg.33|HMPREF1077_00037	BP	GO:0051301	cell division
fig|999419.3.peg.34|HMPREF1077_00038	MF	GO:0003934	GTP cyclohydrolase I activity
fig|999419.3.peg.553	MF	GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5-phosphomonoesters	0.3797406769239597	0.394176744919	15
fig|999419.3.peg.1241|HMPREF1077_01215	MF	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
fig|999419.3.peg.1241|HMPREF1077_01215	BP	GO:0006284	base-excision repair
fig|999419.3.peg.1242|HMPREF1077_01216	MF	GO:0015103	inorganic anion transmembrane transporter activity
fig|999419.3.peg.1242|HMPREF1077_01216	BP	GO:0015698	inorganic anion transport
fig|999419.3.peg.1242|HMPREF1077_01216	CC	GO:0005887	integral component of plasma membrane
fig|999419.3.peg.1243|HMPREF1077_01217	BP	GO:0006432	phenylalanyl-tRNA aminoacylation
fig|999419.3.peg.1243|HMPREF1077_01217	MF	GO:0004826	phenylalanine-tRNA ligase activity
fig|999419.3.peg.1243|HMPREF1077_01217	CC	GO:0005737	cytoplasm
fig|999419.3.peg.1245|HMPREF1077_01219	CC	GO:0016021	integral component of membrane
fig|999419.3.peg.1246|HMPREF1077_01220	MF	GO:0046538	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity
fig|999419.3.peg.1246|HMPREF1077_01220	BP	GO:0006094	gluconeogenesis
fig|999419.3.peg.1247|HMPREF1077_01221	BP	GO:0010045	response to nickel cation
fig|999419.3.peg.1247|HMPREF1077_01221	MF	GO:0016151	nickel cation binding
fig|999419.3.peg.1248|HMPREF1077_01222	CC	GO:0009279	cell outer membrane
fig|999419.3.peg.1248|HMPREF1077_01222	MF	GO:0015344	siderophore uptake transmembrane transporter activity
fig|999419.3.peg.1248|HMPREF1077_01222	BP	GO:0033214	iron assimilation by chelation and transport
fig|999419.3.peg.1249|HMPREF1077_01223	MF	GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
fig|999419.3.peg.1249|HMPREF1077_01223	BP	GO:0015940	pantothenate biosynthetic process
fig|999419.3.peg.1249|HMPREF1077_01223	CC	GO:0005737	cytoplasm
fig|999419.3.peg.1250|HMPREF1077_01224	MF	GO:0043775	cobyrinate a,c-diamide synthase activity
fig|999419.3.peg.1250|HMPREF1077_01224	BP	GO:0009236	cobalamin biosynthetic process
fig|999419.3.peg.1251|HMPREF1077_01225	MF	GO:0008817	cob(I)yrinic acid a,c-diamide adenosyltransferase activity
fig|999419.3.peg.1253|HMPREF1077_01227	MF	GO:0043565	sequence-specific DNA binding
fig|999419.3.peg.1254|HMPREF1077_01228	MF	GO:0016787	hydrolase activity
fig|999419.3.peg.1255|HMPREF1077_01229	MF	GO:0004386	helicase activity
fig|999419.3.peg.1255|HMPREF1077_01229	BP	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic
fig|999419.3.peg.1256|HMPREF1077_01230	MF	GO:0090614	5-methylthioadenosine deaminase activity	6.412477102853901	0.672388062437	1
fig|999419.3.peg.1256|HMPREF1077_01230	MF	0050270	S-adenosylhomocysteine deaminase activity	6.295188328694309	0.669009905632	2
fig|999419.3.peg.1256|HMPREF1077_01230	MF	0019239	deaminase activity	3.951393235838415	0.593330181455	3
fig|999419.3.peg.1256|HMPREF1077_01230	MF	0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	3.6325487343082172	0.581440257764	4
fig|999419.3.peg.1256|HMPREF1077_01230	MF	0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	2.663255113326205	0.541658886908	5
fig|999419.3.peg.1256|HMPREF1077_01230	MF	0046872	metal ion binding	1.12207621951464	0.458507600004	6
fig|999419.3.peg.1256|HMPREF1077_01230	MF	0043169	cation binding	1.1154610522799355	0.458053545716	7
fig|999419.3.peg.1256|HMPREF1077_01230	MF	0016787	hydrolase activity	1.0268508882166258	0.451836461662	8
fig|999419.3.peg.1256|HMPREF1077_01230	MF	0043167	ion binding	0.6998320273965041	0.426168459391	9
fig|999419.3.peg.1256|HMPREF1077_01230	MF	0005488	binding	0.3590113345735103	0.391700289237	10
fig|999419.3.peg.1256|HMPREF1077_01230	MF	0003824	catalytic activity	0.28813016074634773	0.382640103312	11
fig|999419.3.peg.1257|HMPREF1077_01231	MF	0004731	purine-nucleoside phosphorylase activity	4.536231148126146	0.613953201673	1
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0009116	nucleoside metabolic process	2.5254307041111317	0.535446086753	1
fig|999419.3.peg.1257|HMPREF1077_01231	MF	0016763	transferase activity, transferring pentosyl groups	3.12857018015151	0.561526342595	2
fig|999419.3.peg.1257|HMPREF1077_01231	BP	1901657	glycosyl compound metabolic process	2.510917679279917	0.534782111145	2
fig|999419.3.peg.1257|HMPREF1077_01231	MF	0016757	transferase activity, transferring glycosyl groups	2.4611519770926993	0.532490617847	3
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0055086	nucleobase-containing small molecule metabolic process	1.5188842587035833	0.483648868623	3
fig|999419.3.peg.1257|HMPREF1077_01231	BP	1901135	carbohydrate derivative metabolic process	1.4294377524710282	0.478299807929	4
fig|999419.3.peg.1257|HMPREF1077_01231	MF	0016740	transferase activity	0.9688239926212159	0.447618700629	4
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0044281	small molecule metabolic process	1.0109249433338134	0.450690996357	5
fig|999419.3.peg.1257|HMPREF1077_01231	MF	0003824	catalytic activity	0.26303922820089126	0.37916923237	5
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0006139	nucleobase-containing compound metabolic process	0.9089767145214049	0.443134072509	6
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0006725	cellular aromatic compound metabolic process	0.826742533256173	0.436723656586	7
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0046483	heterocycle metabolic process	0.825490533551435	0.43662365193	8
fig|999419.3.peg.1257|HMPREF1077_01231	BP	1901360	organic cyclic compound metabolic process	0.8109412558415856	0.435455905926	9
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0034641	cellular nitrogen compound metabolic process	0.6589917282917359	0.422570899578	10
fig|999419.3.peg.1257|HMPREF1077_01231	BP	1901564	organonitrogen compound metabolic process	0.6413423820686507	0.420981757361	11
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0006807	nitrogen compound metabolic process	0.4484752500949161	0.401937963969	12
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0044238	primary metabolic process	0.40614082217140257	0.397234767517	13
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0044237	cellular metabolic process	0.3856273358176013	0.394867602531	14
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0071704	organic substance metabolic process	0.35411524751886425	0.391105011012	15
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0009987	cellular process	0.27709010105868537	0.381132334023	16
fig|999419.3.peg.1257|HMPREF1077_01231	BP	0008152	metabolic process	0.21097687673878424	0.371393582385	17
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0006742	NADP catabolic process	8.393198320964595	0.725359168364	1
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0050661	NADP binding	4.296674560977692	0.605676679555	1
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0019364	pyridine nucleotide catabolic process	8.392316223414465	0.725337062836	2
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0050662	coenzyme binding	2.5344426694000273	0.535857427258	2
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0072526	pyridine-containing compound catabolic process	8.35500911684181	0.724401073874	3
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0048037	cofactor binding	1.918980496859975	0.505841598319	3
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0009109	coenzyme catabolic process	6.619463320006228	0.678275173097	4
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0016491	oxidoreductase activity	1.6597470500429723	0.491762859611	4
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0051187	cofactor catabolic process	5.291922650337623	0.638720683363	5
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0000166	nucleotide binding	1.454382525086693	0.479807980834	5
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0006739	NADP metabolic process	5.0426862319108245	0.630760048971	6
fig|999419.3.peg.1260|HMPREF1077_01232	MF	1901265	nucleoside phosphate binding	1.4543824675412527	0.47980797737	6
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0009166	nucleotide catabolic process	4.311771794088214	0.606204987033	7
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0036094	small molecule binding	1.354971959189567	0.473717537594	7
fig|999419.3.peg.1260|HMPREF1077_01232	BP	1901292	nucleoside phosphate catabolic process	4.240214981074095	0.603692678931	8
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0033735	aspartate dehydrogenase activity	0.7719700948828222	0.432275375325	8
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0019363	pyridine nucleotide biosynthetic process	4.115999553527104	0.59928069052	9
fig|999419.3.peg.1260|HMPREF1077_01232	MF	1901363	heterocyclic compound binding	0.7321140950624523	0.428938443128	9
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0046434	organophosphate catabolic process	4.080519378202663	0.598008290492	10
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0097159	organic cyclic compound binding	0.7319311674434491	0.428922920914	10
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0072525	pyridine-containing compound biosynthetic process	3.977933551337113	0.594297880138	11
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0005488	binding	0.5117775211116397	0.408574086993	11
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0046496	nicotinamide nucleotide metabolic process	3.8830862905511467	0.590824559567	12
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0016638	oxidoreductase activity, acting on the CH-NH2 group of donors	0.4411124738545036	0.401136465773	12
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0019362	pyridine nucleotide metabolic process	3.883040574864238	0.590822875285	13
fig|999419.3.peg.1260|HMPREF1077_01232	MF	0003824	catalytic activity	0.375074176867068	0.393625271289	13
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0006733	oxidoreduction coenzyme metabolic process	3.777541525976293	0.586909247003	14
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0072524	pyridine-containing compound metabolic process	3.77595250287074	0.58684988509	15
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0034655	nucleobase-containing compound catabolic process	3.7421914310859417	0.585585691393	16
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0034404	nucleobase-containing small molecule biosynthetic process	3.566042081990926	0.578895200279	17
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0044270	cellular nitrogen compound catabolic process	3.55456206940298	0.578453491835	18
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0046700	heterocycle catabolic process	3.553786558231594	0.57842362733	19
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0019439	aromatic compound catabolic process	3.5080110309091537	0.576655027321	20
fig|999419.3.peg.1260|HMPREF1077_01232	BP	1901361	organic cyclic compound catabolic process	3.487069298745651	0.575842068865	21
fig|999419.3.peg.1260|HMPREF1077_01232	BP	1901565	organonitrogen compound catabolic process	3.4525738538662334	0.574497614267	22
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0009108	coenzyme biosynthetic process	3.117426255768266	0.561068528582	23
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0006732	coenzyme metabolic process	2.9361686356523324	0.553503860083	24
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0009165	nucleotide biosynthetic process	2.8784874497221273	0.551047855769	25
fig|999419.3.peg.1260|HMPREF1077_01232	BP	1901293	nucleoside phosphate biosynthetic process	2.869932968812262	0.550681526906	26
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0044248	cellular catabolic process	2.865501022013539	0.550491522773	27
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0051188	cofactor biosynthetic process	2.8418584922793064	0.54947544049	28
fig|999419.3.peg.1260|HMPREF1077_01232	BP	1901575	organic substance catabolic process	2.727968954062148	0.544520513254	29
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0009056	catabolic process	2.679666565248801	0.542387857035	30
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0051186	cofactor metabolic process	2.6266247704853902	0.540023681556	31
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0090407	organophosphate biosynthetic process	2.5575050500281065	0.536906764049	32
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0009117	nucleotide metabolic process	2.302306904396027	0.52501710909	33
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0006753	nucleoside phosphate metabolic process	2.2959614613871104	0.524713288982	34
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0044283	small molecule biosynthetic process	2.2265271567171454	0.52136093581	35
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0034654	nucleobase-containing compound biosynthetic process	2.2102538349074283	0.520567714148	36
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0055086	nucleobase-containing small molecule metabolic process	2.1658148367683774	0.518386594891	37
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0019637	organophosphate metabolic process	2.0932872122470205	0.514778218831	38
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0019438	aromatic compound biosynthetic process	1.964106454441209	0.508192837572	39
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0018130	heterocycle biosynthetic process	1.9286891451728143	0.506349771622	40
fig|999419.3.peg.1260|HMPREF1077_01232	BP	1901362	organic cyclic compound biosynthetic process	1.8925231990619644	0.504450199766	41
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0006796	phosphate-containing compound metabolic process	1.677917102608013	0.492784006207	42
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0006793	phosphorus metabolic process	1.6623839596793732	0.491911397936	43
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0055114	oxidation-reduction process	1.47733123016436	0.481184088288	44
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0044281	small molecule metabolic process	1.4415030168265703	0.479030908802	45
fig|999419.3.peg.1260|HMPREF1077_01232	BP	1901566	organonitrogen compound biosynthetic process	1.4122395492932744	0.477252319333	46
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0044271	cellular nitrogen compound biosynthetic process	1.4092946407001725	0.47707231588	47
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0006139	nucleobase-containing compound metabolic process	1.2961325020694863	0.470007027638	48
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0006725	cellular aromatic compound metabolic process	1.1788727379675414	0.462352215619	49
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0046483	heterocycle metabolic process	1.1770874804532754	0.462232797963	50
fig|999419.3.peg.1260|HMPREF1077_01232	BP	1901360	organic cyclic compound metabolic process	1.156341303548953	0.460838367983	51
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0044249	cellular biosynthetic process	1.1298464337288923	0.459039228831	52
fig|999419.3.peg.1260|HMPREF1077_01232	BP	1901576	organic substance biosynthetic process	1.1123894277709638	0.457842256746	53
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0009058	biosynthetic process	1.0773831407938335	0.455413343313	54
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0034641	cellular nitrogen compound metabolic process	0.939672693467825	0.445452111825	55
fig|999419.3.peg.1260|HMPREF1077_01232	BP	1901564	organonitrogen compound metabolic process	0.9145060517766099	0.443554483795	56
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0006807	nitrogen compound metabolic process	0.6394920119904501	0.420813890937	57
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0044238	primary metabolic process	0.5791262984231068	0.415197705473	58
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0044237	cellular metabolic process	0.549875608092805	0.412371024145	59
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0071704	organic substance metabolic process	0.5049417377311405	0.407878034747	60
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0009987	cellular process	0.3951096658982934	0.395969452121	61
fig|999419.3.peg.1260|HMPREF1077_01232	BP	0008152	metabolic process	0.3008371752077557	0.384340204661	62
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0051287	NAD binding	2.711779722302595	0.543807842524	1
fig|999419.3.peg.1261|HMPREF1077_01233	BP	0055114	oxidation-reduction process	1.0044720578435211	0.450224309222	1
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	2.5105235813279014	0.534764054311	2
fig|999419.3.peg.1261|HMPREF1077_01233	BP	0008152	metabolic process	0.2045462319395678	0.37036929564	2
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0016614	oxidoreductase activity, acting on CH-OH group of donors	2.417487456609954	0.530460901724	3
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0050662	coenzyme binding	1.7232268509855047	0.495306559773	4
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0048037	cofactor binding	1.304759724349746	0.470556267469	5
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0016491	oxidoreductase activity	1.1285008404451704	0.458947296116	6
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0000166	nucleotide binding	0.9888686964960162	0.449089605869	7
fig|999419.3.peg.1261|HMPREF1077_01233	MF	1901265	nucleoside phosphate binding	0.9888686573695252	0.449089603012	8
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0036094	small molecule binding	0.9212771275511387	0.444067580632	9
fig|999419.3.peg.1261|HMPREF1077_01233	MF	1901363	heterocyclic compound binding	0.49778149722172543	0.407143873498	10
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0097159	organic cyclic compound binding	0.49765712045492816	0.407131074274	11
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0005488	binding	0.3479695069682325	0.390351941217	12
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0003824	catalytic activity	0.2550217057549871	0.37802552641	13
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0047964	glyoxylate reductase activity	0.12564823523252192	0.356168891278	14
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0008720	D-lactate dehydrogenase activity	0.11743535540329962	0.35445835905	15
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0016618	hydroxypyruvate reductase activity	0.10931918586788145	0.352708132315	16
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0030267	glyoxylate reductase (NADP) activity	0.10828284091731696	0.352480032088	17
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0033711	4-phosphoerythronate dehydrogenase activity	0.1060312387042779	0.351980660389	18
fig|999419.3.peg.1261|HMPREF1077_01233	MF	0004457	lactate dehydrogenase activity	0.09324372122835903	0.349038032257	19
fig|999419.3.peg.1262|HMPREF1077_01234	MF	0016787	hydrolase activity	1.968159817668867	0.508402705339	1
fig|999419.3.peg.1262|HMPREF1077_01234	CC	0016021	integral component of membrane	0.10400770362472453	0.351527327233	1
fig|999419.3.peg.1262|HMPREF1077_01234	MF	0003824	catalytic activity	0.5522575976189833	0.412603980561	2
fig|999419.3.peg.1262|HMPREF1077_01234	CC	0031224	intrinsic component of membrane	0.10376307833043782	0.351472226064	2
fig|999419.3.peg.1262|HMPREF1077_01234	CC	0044425	membrane part	0.10043900378374758	0.350716948338	3
fig|999419.3.peg.1262|HMPREF1077_01234	CC	0016020	membrane	0.08674595630322804	0.347465271735	4
fig|999419.3.peg.1263|HMPREF1077_01236	MF	0022857	transmembrane transporter activity	1.437028148337723	0.478760110113	1
fig|999419.3.peg.1263|HMPREF1077_01236	BP	0055085	transmembrane transport	1.1868657190797363	0.462885768734	1
fig|999419.3.peg.1263|HMPREF1077_01236	CC	0016021	integral component of membrane	0.32274569229190075	0.387189152865	1
fig|999419.3.peg.1263|HMPREF1077_01236	MF	0005215	transporter activity	1.3824326075816193	0.47542165054	2
fig|999419.3.peg.1263|HMPREF1077_01236	BP	0006810	transport	1.0131141514576505	0.450848986243	2
fig|999419.3.peg.1263|HMPREF1077_01236	CC	0031224	intrinsic component of membrane	0.32198659698256155	0.387092088841	2
fig|999419.3.peg.1263|HMPREF1077_01236	BP	0051234	establishment of localization	1.0107721997971997	0.450679966842	3
fig|999419.3.peg.1263|HMPREF1077_01236	CC	0044425	membrane part	0.3116716808425768	0.385761621709	3
fig|999419.3.peg.1263|HMPREF1077_01236	BP	0051179	localization	0.9937505180647569	0.449445576521	4
fig|999419.3.peg.1263|HMPREF1077_01236	CC	0016020	membrane	0.28354269660512954	0.382017152135	4
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0016491	oxidoreductase activity	2.793387789939148	0.547379019511	1
fig|999419.3.peg.1264|HMPREF1077_01237	BP	0055114	oxidation-reduction process	2.486378282720888	0.533655045347	1
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0050255	ribitol 2-dehydrogenase activity	1.7235058205668372	0.495321987597	2
fig|999419.3.peg.1264|HMPREF1077_01237	BP	0008152	metabolic process	0.5063150387665225	0.408018247251	2
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	1.2155282228731072	0.464784446915	3
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0016614	oxidoreductase activity, acting on CH-OH group of donors	1.1704826251410234	0.461790203403	4
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0102131	3-oxo-glutaryl-[acp] methyl ester reductase activity	1.1216931592380088	0.45848134394	5
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0102132	3-oxo-pimeloyl-[acp] methyl ester reductase activity	1.1216931592380088	0.45848134394	6
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	1.06468647835837	0.454522653863	7
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0004312	fatty acid synthase activity	0.8833179406122202	0.441166213674	8
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0003824	catalytic activity	0.6312574111548007	0.420063881911	9
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0016747	transferase activity, transferring acyl groups other than amino-acyl groups	0.610068956857994	0.418111234982	10
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0016746	transferase activity, transferring acyl groups	0.5602314539077073	0.413380182885	11
fig|999419.3.peg.1264|HMPREF1077_01237	MF	0016740	transferase activity	0.23048971634721613	0.374409568277	12
